austin,10.8,12.8,16.5,20.6,24.7,27.9,29.4,29.8,26.7,21.8,16.1,11.4
chicago,-3.7,-1.5,4.1,10.3,16.2,21.7,24.3,23.4,19.3,12.4,5.5,-1.5
boston,-1.5,0.0,3.7,9.1,14.6,20.0,23.2,22.4,18.4,12.4,7.2,1.7
fresno,8.3,11.1,13.7,16.7,21.2,25.1,28.3,27.5,24.6,18.9,12.4,8.2
memphis,5.2,7.5,12.2,17.2,22.1,26.4,28.2,27.8,24,17.8,11.8,6.4
houston,11.5,13.3,16.9,20.7,24.8,27.7,28.9,29,26.3,21.7,16.6,12.8
phoenix,13.6,15.4,18.5,22.7,27.8,32.7,34.9,34.2,31.3,24.8,17.9,13.1
nashville,3.4,5.7,10.3,15.3,20,24.6,26.6,26.2,22.2,16,10.2,4.9
indianapolis,-2.2,0.1,5.7,11.8,17.2,22.3,24.2,23.5,19.5,12.9,6.6,-0.1
washington,2.3,3.9,8.3,13.8,18.9,24.1,26.6,25.7,21.7,15.3,9.8,4.3
